"tuning_time","measurement","gpu","kernel","time","size"
109.035626,1.3347492218,"GTX-750","heartwall-original","7200","default"
675.559536,1.32830667496,"GTX-750","heartwall-original","7200","default"
1976.602067,1.32245524724,"GTX-750","heartwall-original","7200","default"
3887.38163,1.31627504031,"GTX-750","heartwall-original","7200","default"
6944.668451,1.31608112653,"GTX-750","heartwall-original","7200","default"
5.62681,9999,"GTX-750","heartwall","7200","default"
36.927934,6.67283964157,"GTX-750","heartwall","7200","default"
43.733425,1.23740967115,"GTX-750","heartwall","7200","default"
107.353097,0.749182621638,"GTX-750","heartwall","7200","default"
123.169512,0.728932062785,"GTX-750","heartwall","7200","default"
7.715783,1.60246260961,"GTX-750","hotspot-old","7200","default"
91.856856,1.54404743512,"GTX-750","hotspot-old","7200","default"
151.44163,1.51202956835,"GTX-750","hotspot-old","7200","default"
286.832836,1.50451397896,"GTX-750","hotspot-old","7200","default"
638.648408,1.50367728869,"GTX-750","hotspot-old","7200","default"
683.344028,1.47013839086,"GTX-750","hotspot-old","7200","default"
4661.359195,1.44349273046,"GTX-750","hotspot-old","7200","default"
4934.256544,1.40854891141,"GTX-750","hotspot-old","7200","default"
6.813689,1.41137393316,"GTX-750","hotspot","7200","default"
172.021774,1.40759809812,"GTX-750","hotspot","7200","default"
419.201139,1.40573263168,"GTX-750","hotspot","7200","default"
1070.333448,1.40530625979,"GTX-750","hotspot","7200","default"
1363.775992,1.40346288681,"GTX-750","hotspot","7200","default"
1759.954371,1.39784200986,"GTX-750","hotspot","7200","default"
3599.937844,1.39546767871,"GTX-750","hotspot","7200","default"
4.982456,9999,"GTX-750","kmeans","7200","default"
79.68849,2.25233999888,"GTX-750","kmeans","7200","default"
0.594805,9999,"GTX-750","lavaMD-old","30","default"
9.168622,1.37373669942,"GTX-750","lavaMD-old","3600","default"
18.10739,1.36443201701,"GTX-750","lavaMD-old","3600","default"
63.639026,1.35054691633,"GTX-750","lavaMD-old","3600","default"
3070.677802,1.34987624486,"GTX-750","lavaMD-old","3600","default"
9.397197,1.37685990334,"GTX-750","lavaMD-old","3600","default"
27.727191,1.37261597315,"GTX-750","lavaMD-old","3600","default"
64.618901,1.36696592967,"GTX-750","lavaMD-old","3600","default"
120.270821,1.36114732424,"GTX-750","lavaMD-old","3600","default"
351.037833,1.35841194789,"GTX-750","lavaMD-old","3600","default"
912.860613,1.35066890717,"GTX-750","lavaMD-old","3600","default"
9.665032,1.42957695325,"GTX-750","lavaMD-old","7200","default"
19.070566,1.3734989961,"GTX-750","lavaMD-old","7200","default"
75.991825,1.36371270816,"GTX-750","lavaMD-old","7200","default"
1057.023032,1.3627076149,"GTX-750","lavaMD-old","7200","default"
1210.075848,1.35683997472,"GTX-750","lavaMD-old","7200","default"
2755.813778,1.356341362,"GTX-750","lavaMD-old","7200","default"
5990.702847,1.35576192538,"GTX-750","lavaMD-old","7200","default"
9.22347,1.37841463089,"GTX-750","lavaMD-original","7200","default"
37.359487,1.37310663859,"GTX-750","lavaMD-original","7200","default"
65.364796,1.36079565684,"GTX-750","lavaMD-original","7200","default"
1338.287172,1.35955262184,"GTX-750","lavaMD-original","7200","default"
1989.533733,1.35921597481,"GTX-750","lavaMD-original","7200","default"
3606.504206,1.35890094439,"GTX-750","lavaMD-original","7200","default"
4097.744638,1.35770360629,"GTX-750","lavaMD-original","7200","default"
5679.390227,1.35608259837,"GTX-750","lavaMD-original","7200","default"
7.488558,0.81919725736,"GTX-750","lavaMD","120","default"
14.560704,0.778320630391,"GTX-750","lavaMD","120","default"
21.615187,0.777816295624,"GTX-750","lavaMD","120","default"
28.660603,0.776751041412,"GTX-750","lavaMD","120","default"
35.705539,0.776677290599,"GTX-750","lavaMD","120","default"
49.888603,0.772962331772,"GTX-750","lavaMD","120","default"
99.646772,0.772710084915,"GTX-750","lavaMD","120","default"
7.188421,0.786028067271,"GTX-750","lavaMD","7200","default"
14.27747,0.777230342229,"GTX-750","lavaMD","7200","default"
78.274471,0.777040402095,"GTX-750","lavaMD","7200","default"
92.442278,0.776354312897,"GTX-750","lavaMD","7200","default"
113.696367,0.7749487559,"GTX-750","lavaMD","7200","default"
199.313382,0.773543675741,"GTX-750","lavaMD","7200","default"
362.882958,0.771181265513,"GTX-750","lavaMD","7200","default"
7.200025,0.768403689067,"GTX-750","lavaMD","7200","default"
7.53631,0.791994730632,"GTX-750","lud","7200","default"
22.180384,0.758900721868,"GTX-750","lud","7200","default"
66.629365,0.719610611598,"GTX-750","lud","7200","default"
336.037764,0.710278352102,"GTX-750","lud","7200","default"
461.321161,0.703716198603,"GTX-750","lud","7200","default"
3000.216276,0.703533013662,"GTX-750","lud","7200","default"
4394.838646,0.698366721471,"GTX-750","lud","7200","default"
72.218691,23.2369391123,"GTX-750","MatMulGPU","7200","8192"
37.185933,11.6024940014,"GTX-750","MatMulShared","7200","8192"
145.741408,9.97558800379,"GTX-750","MatMulShared","7200","8192"
178.345876,9.9641280969,"GTX-750","MatMulShared","7200","8192"
210.967373,9.9620932738,"GTX-750","MatMulShared","7200","8192"
1203.005919,9.96005066236,"GTX-750","MatMulShared","7200","8192"
1539.827183,9.95684393247,"GTX-750","MatMulShared","7200","8192"
1975.365466,9.94541764259,"GTX-750","MatMulShared","7200","8192"
2895.188748,9.93637331327,"GTX-750","MatMulShared","7200","8192"
5704.727282,9.93065357208,"GTX-750","MatMulShared","7200","8192"
6122.168605,9.9269349575,"GTX-750","MatMulShared","7200","8192"
6670.049193,9.92683466276,"GTX-750","MatMulShared","7200","8192"
79.339649,25.5643784205,"GTX-750","MatMulSharedUn","7200","8192"
4803.156368,25.5411384106,"GTX-750","MatMulSharedUn","7200","8192"
541.068829,179.489350319,"GTX-750","MatMulUn","7200","8192"
3923.984345,179.461658398,"GTX-750","MatMulUn","7200","8192"
6222.401881,179.425601959,"GTX-750","MatMulUn","7200","8192"
7.893599,9999,"GTX-750","myocyte","30","default"
39.410728,3.40234557788,"GTX-750","myocyte","30","default"
14.224549,1.68955540657,"GTX-750","myocyte","3600","default"
161.305826,1.19522833824,"GTX-750","myocyte","3600","default"
545.959955,1.16283369064,"GTX-750","myocyte","3600","default"
929.348859,1.15715972582,"GTX-750","myocyte","3600","default"
977.69688,1.1457901001,"GTX-750","myocyte","3600","default"
1436.549695,1.11231764158,"GTX-750","myocyte","3600","default"
10.815047,9999,"GTX-750","myocyte","3600","default"
29.057237,2.12732768059,"GTX-750","myocyte","3600","default"
55.59159,1.25909169515,"GTX-750","myocyte","3600","default"
69.866883,1.23454999924,"GTX-750","myocyte","3600","default"
153.472054,1.16383139292,"GTX-750","myocyte","3600","default"
185.893289,1.14485176404,"GTX-750","myocyte","3600","default"
630.188278,1.13430269559,"GTX-750","myocyte","3600","default"
17.34725,2.40097339948,"GTX-750","myocyte","7200","default"
48.38128,1.84810805321,"GTX-750","myocyte","7200","default"
112.758787,1.83452065786,"GTX-750","myocyte","7200","default"
133.153318,1.30045207342,"GTX-750","myocyte","7200","default"
200.213889,1.17994093895,"GTX-750","myocyte","7200","default"
351.468284,1.15227111181,"GTX-750","myocyte","7200","default"
708.083304,1.09967533747,"GTX-750","myocyte","7200","default"
787.385839,1.08341002464,"GTX-750","myocyte","7200","default"
1947.887613,1.0764532884,"GTX-750","myocyte","7200","default"
7045.492942,1.07256738345,"GTX-750","myocyte","7200","default"
4.890687,0.770717461904,"GTX-750","needle","7200","default"
19.266512,0.744499286016,"GTX-750","needle","7200","default"
476.903506,0.738135735194,"GTX-750","needle","7200","default"
3937.808226,0.737917264303,"GTX-750","needle","7200","default"
4187.840429,0.734878222148,"GTX-750","needle","7200","default"
4.890687,0.770717461904,"GTX-750","Needle","7200","default"
19.266512,0.744499286016,"GTX-750","Needle","7200","default"
476.903506,0.738135735194,"GTX-750","Needle","7200","default"
3937.808226,0.737917264303,"GTX-750","Needle","7200","default"
4187.840429,0.734878222148,"GTX-750","Needle","7200","default"
0.141567,9999,"GTX-750","ParticleFilterFloat","7200","50000"
0.14064,9999,"GTX-750","ParticleFilterNaive","7200","50000"
5.14258,0.844111442566,"GTX-750","Pathfinder","7200","default"
25.68952,0.831320762634,"GTX-750","Pathfinder","7200","default"
4091.745058,0.829764684041,"GTX-750","Pathfinder","7200","default"
16.267374,4.55216701825,"GTX-750","Quicksort","7200","65536"
48.906532,4.53529405594,"GTX-750","Quicksort","7200","65536"
130.042679,4.53004733721,"GTX-750","Quicksort","7200","65536"
146.271824,4.52647535006,"GTX-750","Quicksort","7200","65536"
262.947071,4.51201327642,"GTX-750","Quicksort","7200","65536"
379.007092,4.51109131177,"GTX-750","Quicksort","7200","65536"
1275.033735,4.50690372785,"GTX-750","Quicksort","7200","65536"
4176.167877,4.50574398041,"GTX-750","Quicksort","7200","65536"
5544.772108,4.50468468666,"GTX-750","Quicksort","7200","65536"
8.184638,9999,"GTX-750","SubSeqMax","7200","1073741824"
5.288299,0.881579399109,"GTX-750","VecAdd","7200","4194304"
10.491404,0.88117424647,"GTX-750","VecAdd","7200","4194304"
15.628042,0.877783060074,"GTX-750","VecAdd","7200","4194304"
25.918345,0.867868343989,"GTX-750","VecAdd","7200","4194304"
261.357907,0.855806986491,"GTX-750","VecAdd","7200","4194304"
323.80006,0.848037958145,"GTX-750","VecAdd","7200","4194304"
5.541259,0.898048321406,"GTX-750-outliers","heartwall","7200","default"
17.2107,0.898048321406,"GTX-750-outliers","heartwall","7200","default"
29.219365,0.88498878479,"GTX-750-outliers","heartwall","7200","default"
42.87804,0.883289893468,"GTX-750-outliers","heartwall","7200","default"
180.068829,0.878636757533,"GTX-750-outliers","heartwall","7200","default"
460.955078,0.877688884735,"GTX-750-outliers","heartwall","7200","default"
709.152354,0.877345005671,"GTX-750-outliers","heartwall","7200","default"
1323.560683,0.86759964625,"GTX-750-outliers","heartwall","7200","default"
7.715783,1.60246260961,"GTX-750-outliers","hotspot","7200","default"
91.856856,1.54404743512,"GTX-750-outliers","hotspot","7200","default"
151.44163,1.51202956835,"GTX-750-outliers","hotspot","7200","default"
286.832836,1.50451397896,"GTX-750-outliers","hotspot","7200","default"
638.648408,1.50367728869,"GTX-750-outliers","hotspot","7200","default"
683.344028,1.47013839086,"GTX-750-outliers","hotspot","7200","default"
4661.359195,1.44349273046,"GTX-750-outliers","hotspot","7200","default"
4934.256544,1.40854891141,"GTX-750-outliers","hotspot","7200","default"
0.594805,9999,"GTX-750-outliers","lavaMD","30","default"
9.168622,1.37373669942,"GTX-750-outliers","lavaMD","3600","default"
